id_klientit,emri,mosha,gjinia,ka_veture,ka_shtepi,numri_femijeve,te_ardhurat_neto_vjetore,numri_diteve_te_punesuar,lloji_profesionit,numri_anetarve_familjes,punetor_migrant,pagesat_vjetore_te_borxhit,limiti_kreditit,perdorimi_limitit_kreditit(%),piket_kreditit,mospagesat_meparshme,mospagesa_6_muajt_fundit,mospagesa_kreditit
41209,Julian Baci,43,M,Po,Po,1.0,223787.52,2499.0,Shofer,2.0,Po,18806.78,86882.47,10,724.0,0,Jo,Jo
16401,Gameplay Albania,37,M,Jo,Jo,0.0,92260.01,4976.0,Staf i burimeve njerëzore,2.0,Jo,27946.64,26257.53,32,931.0,0,Jo,Jo
5775,Gerta Mati,50,F,Po,Po,0.0,173396.95,365241.0,Panjohur,1.0,Jo,10764.89,28296.94,3,811.0,0,Jo,Jo
41275,Muhamed Loci,26,M,Po,Po,0.0,206735.72,8039.0,Menaxher,2.0,Jo,90738.98,43999.15,55,848.0,0,Jo,Jo
59503,Temal Nerguti,33,M,Po,Po,0.0,316368.24,1377.0,Punëtorë të thjeshtë,1.0,Po,61446.88,78388.44,8,737.0,0,Jo,Jo
65701,Zeqir Nela,48,M,Jo,Jo,0.0,145514.36,365240.0,Panjohur,1.0,Jo,27222.39,39851.78,22,717.0,0,Jo,Jo
30624,Lefter Lala,24,M,Jo,Jo,0.0,49095.08,365247.0,Panjohur,2.0,Jo,13738.47,11766.32,90,891.0,0,Jo,Jo
59841,Genti Balla,28,M,Jo,Jo,0.0,105269.88,365249.0,Panjohur,2.0,Jo,30128.22,12997.07,91,814.0,0,Jo,Jo
23543,Anna Maria,29,F,Jo,Po,1.0,255762.9,235.0,Staf i shitjeve,3.0,Jo,47944.33,29842.03,28,723.0,0,Jo,Jo
30816,Kristina Karanxhs,49,F,Po,Jo,2.0,91788.31,360.0,Staf sigurimi,4.0,Po,24679.42,20759.68,71,800.0,0,Jo,Jo
62883,Michael Scofield,50,M,Jo,Po,0.0,112940.36,200.0,Staf i shitjeve,2.0,Jo,9985.33,19156.26,5,715.0,0,Jo,Jo
57640,Vilson Corbaxhi,24,M,Jo,Po,1.0,165911.88,344.0,Punëtorë të thjeshtë,3.0,Jo,67942.46,18209.26,18,692.0,0,Jo,Jo
27366,Kevi Zeneli,51,F,Jo,Po,0.0,151825.02,365244.0,Panjohur,2.0,Jo,40195.46,42491.2,83,947.0,0,Jo,Jo
20451,Flora Dine,32,F,Jo,Po,1.0,152876.72,1256.0,Punëtorë të thjeshtë,2.0,Jo,7385.37,26919.74,76,912.0,0,Jo,Jo
52237,Dell Dell,50,M,Jo,Jo,1.0,258020.7,1174.0,Panjohur,3.0,Jo,14113.27,53342.4,50,735.0,0,Jo,Jo
58979,Shaljani Prej Shale,42,M,Jo,Po,0.0,118593.55,365242.0,Panjohur,1.0,Jo,24370.78,22676.87,84,782.0,0,Jo,Jo
55270,Saimir Balla,41,M,Jo,Po,0.0,108455.69,340.0,Staf qëndror,2.0,Jo,27507.9,26574.22,88,843.0,0,Jo,Jo
24541,Petrit Selmani,52,M,Jo,Po,1.0,82722.0,1202.0,Menaxher,3.0,Jo,13003.15,12546.68,47,900.0,0,Jo,Jo
9758,Anna Annww,48,M,Po,Po,1.0,144940.24,1469.0,Staf i shitjeve,3.0,Jo,16658.7,18934.01,94,532.0,0,Po,Po
52434,Ferdan Alivodja,41,F,Jo,Jo,1.0,114171.99,1213.0,Staf qëndror,3.0,Jo,17947.87,12251.0,29,883.0,0,Jo,Jo
2676,Klodi Klo,52,F,Jo,Po,0.0,408999.16,365246.0,Panjohur,2.0,Jo,62880.41,86611.59,20,713.0,0,Jo,Jo
7947,Ani Kafazi,37,F,Jo,Jo,0.0,78602.75,1408.0,Staf i shitjeve,2.0,Jo,11220.86,15133.0,30,679.0,0,Jo,Jo
8356,Fadil Bulla,46,M,Jo,Po,1.0,321454.51,2244.0,Staf i shitjeve,3.0,Jo,60176.95,49448.67,41,934.0,0,Jo,Jo
38895,Luti Real,55,M,Po,Po,0.0,163524.14,183.0,Kontabilist,2.0,Jo,26403.62,41383.76,36,797.0,0,Jo,Jo
26404,Marsi Eri,51,F,Jo,Po,1.0,76823.85,7748.0,Staf qëndror,2.0,Jo,10287.24,10754.41,74,730.0,0,Jo,Jo
42693,Servete Dragoti,54,F,Jo,Po,2.0,175429.86,965.0,Staf i shitjeve,4.0,Jo,15270.87,38706.09,43,902.0,0,Jo,Jo
27018,Tahir Rraklli,50,M,Po,Jo,0.0,286723.85,2285.0,Staf i shitjeve,1.0,Jo,31870.3,56503.85,95,863.0,0,Jo,Jo
17646,Aurora Rrushi,38,F,Jo,Jo,0.0,88538.03,2227.0,Staf i shitjeve,1.0,Jo,19491.29,29402.31,37,782.0,0,Jo,Jo
29351,Azize Ciceri,50,F,Jo,Jo,0.0,339929.07,4118.0,Staf qëndror,1.0,Jo,59184.95,95060.2,83,949.0,0,Jo,Jo
64805,Altin Boka,37,M,Jo,Jo,0.0,73319.96,3412.0,Staf i shitjeve,2.0,Po,12331.41,9334.66,88,702.0,0,Jo,Jo
21620,Arti Dushku,41,M,Po,Po,0.0,253953.36,1487.0,Panjohur,2.0,Jo,14662.91,90817.19,88,867.0,0,Jo,Jo
39514,Arli Haxhi,25,M,Jo,Jo,0.0,134477.61,7880.0,Staf i shitjeve,2.0,Jo,25452.79,22383.77,83,688.0,0,Jo,Po
36990,Kujtim Gjonaj,54,M,Jo,Po,0.0,142112.0,3290.0,Panjohur,1.0,Jo,13172.01,37096.88,36,774.0,0,Jo,Jo
22634,Adrian Zhugli,38,M,Jo,Po,0.0,162592.9,9616.0,Panjohur,1.0,Jo,35422.27,31028.79,20,923.0,0,Jo,Jo
26809,Gled Is,27,M,Po,Po,1.0,196223.74,1277.0,Panjohur,3.0,Po,65946.39,35306.2,56,676.0,0,Jo,Jo
37891,Kina Tola,31,M,Jo,Po,0.0,164809.42,365245.0,Panjohur,2.0,Jo,27630.55,31752.06,92,876.0,0,Jo,Jo
17541,Eri Hoxha,29,M,Po,Jo,0.0,211530.58,2478.0,Panjohur,1.0,Jo,15401.43,57697.81,13,703.0,0,Jo,Jo
38017,Altin Zhilla,50,M,Po,Po,1.0,207621.25,1433.0,Shofer,3.0,Po,50351.63,50266.0,79,667.0,0,Jo,Po
29960,Klea Pellumbi,52,F,Po,Po,0.0,114109.36,1446.0,Staf sigurimi,2.0,Jo,19207.54,24127.51,81,620.0,1,Po,Po
22890,Sotir Duda,53,M,Po,Po,0.0,110227.77,10079.0,Punëtorë të thjeshtë,2.0,Jo,17560.34,26221.47,16,937.0,0,Jo,Jo
17777,Maj Danoz,47,F,Jo,Po,0.0,202089.68,6124.0,Menaxher,1.0,Jo,25022.9,33421.81,37,926.0,0,Jo,Jo
20670,Olta Hyka,34,F,Po,Po,2.0,390264.82,307.0,Menaxher,4.0,Jo,48480.85,99876.33,9,650.0,0,Jo,Jo
29421,Vesel Dapo,28,M,Po,Po,0.0,171999.73,365243.0,Panjohur,2.0,Jo,25204.95,27682.94,43,835.0,0,Jo,Jo
8840,Dylber Lirie Lena,43,F,Jo,Po,0.0,105641.18,365249.0,Panjohur,2.0,Jo,30269.35,28311.61,78,608.0,1,Po,Po
43922,Natasha Xhafaj,52,F,Po,Jo,0.0,348781.48,1808.0,Menaxher,2.0,Po,75598.54,46802.64,15,736.0,0,Jo,Jo
45999,Afife Skrevani,55,F,Jo,Jo,0.0,223956.76,578.0,Staf i shitjeve,1.0,Jo,50733.79,31737.49,39,655.0,0,Jo,Jo
31351,Leke Marie Delija,24,M,Po,Po,1.0,345800.3,277.0,Punëtorë të thjeshtë,3.0,Jo,39719.26,118352.08,62,808.0,0,Jo,Jo
1410,Eleninoel Beshiri,29,M,Jo,Po,1.0,154039.49,3349.0,Staf i shitjeve,3.0,Jo,21305.91,22388.48,35,905.0,0,Jo,Jo
29479,Zani Dervishaj,40,M,Po,Jo,0.0,407205.73,1254.0,Punëtorë të thjeshtë,2.0,Jo,36882.04,92722.57,67,737.0,0,Jo,Jo
19917,Endi Endi,31,M,Jo,Po,2.0,109369.23,936.0,Staf i shitjeve,4.0,Jo,46927.79,16872.22,56,948.0,0,Jo,Jo
63066,Zana Dilaveri,49,F,Po,Po,0.0,180777.71,206.0,Staf i shitjeve,1.0,Jo,27034.34,63189.04,3,943.0,0,Jo,Jo
23421,Gersi Nena,36,M,Jo,Po,0.0,230984.04,588.0,Punëtorë të thjeshtë,2.0,Jo,35554.31,28702.61,88,658.0,0,Jo,Po
562,Fatmira Beqiri,28,F,Jo,Po,1.0,437661.11,4331.0,Menaxher,3.0,Jo,36729.28,67140.92,17,948.0,0,Jo,Jo
56615,Gazmir Gazmir,23,M,Jo,Jo,0.0,164534.02,2201.0,Panjohur,2.0,Jo,44952.01,31158.79,60,731.0,0,Jo,Jo
13590,Mateo Juventus,53,M,Jo,Jo,0.0,94126.29,644.0,Staf i shitjeve,2.0,Jo,7713.83,19923.75,66,825.0,0,Jo,Jo
29315,Valbona Bermeshi,28,F,Jo,Po,1.0,371589.07,1417.0,Panjohur,3.0,Po,29192.0,38519.24,48,863.0,0,Jo,Jo
11640,Mirjeta D Gjergji,44,F,Jo,Po,1.0,279909.11,1673.0,Punëtorë të thjeshtë,3.0,Jo,17944.52,65039.13,83,677.0,0,Jo,Po
39237,Fati Llukaj,37,F,Jo,Jo,0.0,129633.23,164.0,Staf pastrimi,2.0,Jo,29892.75,36552.07,71,681.0,0,Jo,Jo
10331,Bardhyl Myzyri,24,M,Jo,Po,0.0,239984.82,4676.0,Staf pastrimi,2.0,Jo,51397.62,61399.84,44,835.0,0,Jo,Jo
6820,Lina Hida,38,F,Jo,Po,0.0,390857.62,3275.0,Kontabilist,1.0,Jo,61521.59,139257.29,39,682.0,0,Jo,Jo
34337,Ida Koka,44,F,Jo,Jo,0.0,209540.97,365241.0,Panjohur,2.0,Jo,50892.56,48817.96,40,946.0,0,Jo,Jo
3116,Lumturi Zenelaj,37,F,Jo,Po,1.0,56846.97,4347.0,Stafi i teknologjisë së lartë,3.0,Jo,23478.15,17986.15,83,672.0,0,Jo,Jo
29445,Fatjon Shametaj,42,M,Po,Jo,0.0,221996.71,3563.0,Staf i shitjeve,2.0,Jo,32382.24,34271.9,91,864.0,0,Jo,Jo
42320,Myqerem Memushaj,48,M,Jo,Po,1.0,198738.29,1053.0,Staf i shitjeve,3.0,Jo,32031.88,53647.28,56,833.0,0,Jo,Jo
38215,Sa Ra,29,F,Po,Po,1.0,187629.14,2501.0,Panjohur,3.0,Po,20188.13,35985.53,76,815.0,0,Jo,Jo
1729,Ligor Kosta,27,M,Jo,Jo,0.0,141003.66,2371.0,Staf gatimi,2.0,Po,15781.05,33616.31,28,682.0,0,Jo,Jo
24665,Anna Anna,32,F,Jo,Po,0.0,244040.28,2181.0,Kontabilist,1.0,Jo,45178.83,51659.46,22,828.0,0,Jo,Jo
64335,Ana Graceni,46,F,Jo,Jo,0.0,58259.98,365241.0,Panjohur,2.0,Jo,22021.66,9241.37,88,700.0,0,Jo,Jo
53814,Namik Ruci,35,M,Jo,Po,1.0,251869.08,9272.0,Punëtorë të thjeshtë,3.0,Jo,30723.52,60535.75,57,894.0,0,Jo,Jo
35400,Rozeta Alisia,36,F,Jo,Jo,0.0,86370.78,365242.0,Panjohur,1.0,Jo,21468.73,22213.54,25,949.0,0,Jo,Jo
27283,Livia Backa,27,F,Po,Po,2.0,503963.65,817.0,Menaxher,4.0,Jo,61652.83,59889.36,27,698.0,0,Jo,Jo
43524,Shpetim Shkembi,51,M,Jo,Po,0.0,128675.13,2855.0,Panjohur,2.0,,12097.89,25834.2,76,890.0,0,Jo,Jo
36757,Emri Allaraj,43,M,Po,Jo,1.0,264412.73,1083.0,Kontabilist,3.0,Jo,37377.4,35845.63,98,922.0,0,Jo,Jo
13138,Ilir Ruci,52,M,Jo,Jo,0.0,318972.46,3448.0,Punëtorë të thjeshtë,1.0,Po,38734.66,103573.43,53,793.0,0,Jo,Jo
61453,Rita Calama,30,F,Jo,Jo,0.0,387825.58,645.0,Menaxher,2.0,Po,25772.21,83643.08,30,689.0,0,Jo,Jo
7490,Lumturie Dervishi Merdini,25,F,Po,Po,1.0,200451.72,306.0,Shofer,3.0,Po,10658.24,74611.24,45,660.0,0,Jo,Jo
10661,Re Nato,45,M,,Po,0.0,213866.59,2272.0,Staf qëndror,2.0,Jo,22836.78,71050.18,21,802.0,0,Jo,Jo
52059,Festim Bengasi,30,M,Jo,Po,0.0,177994.13,365246.0,Panjohur,2.0,Jo,9960.81,23810.5,24,810.0,0,Jo,Jo
21454,Eris Hida,33,M,Po,Po,0.0,130982.81,232.0,Panjohur,2.0,Jo,8209.99,28732.0,65,853.0,0,Jo,Jo
16087,Miri Dajci,36,M,Jo,Jo,0.0,92887.67,897.0,Staf i shitjeve,2.0,Jo,30234.98,32974.29,45,789.0,0,Jo,Jo
19257,Ledion Paola,48,M,Jo,Po,0.0,205314.31,476.0,Panjohur,2.0,Jo,31057.11,28471.11,84,777.0,0,Jo,Jo
51496,Gena Gledisa Mema,49,F,Po,Po,0.0,158996.05,365248.0,Panjohur,1.0,Jo,30073.84,40068.4,97,752.0,0,Jo,Jo
64674,Ilirjan Xhorxhi,32,M,Jo,Po,0.0,237567.94,365250.0,Panjohur,2.0,Jo,20717.87,26908.3,8,655.0,0,Jo,Jo
20685,Kastriot Bitanji,34,M,Po,Po,0.0,329545.33,1183.0,Staf i shitjeve,2.0,Jo,48640.53,78630.06,92,870.0,0,Jo,Jo
54700,Ardi Ardi,54,M,Po,Po,0.0,239796.98,365247.0,Panjohur,2.0,Jo,16681.17,35005.38,26,761.0,0,Jo,Jo
12923,Ardian Mumajesi,48,M,Jo,Jo,0.0,166643.05,3326.0,Staf i shitjeve,2.0,Jo,47903.65,36668.6,76,895.0,0,Jo,Jo
26426,Fiorela Tahiri,52,F,Po,Po,2.0,85095.81,2658.0,Punëtorë të thjeshtë,4.0,Jo,32824.91,29811.27,17,701.0,0,Jo,Jo
16301,Marko Strazimiri,50,M,Jo,Po,2.0,138276.92,3741.0,Panjohur,3.0,Jo,9628.87,22624.97,90,658.0,0,Jo,Jo
5082,Ela Hoxha,34,F,Po,Po,0.0,110729.83,365244.0,Panjohur,2.0,Jo,23382.55,14686.0,4,684.0,0,Jo,Jo
5783,Mena Arijana,24,F,Po,Po,0.0,314645.31,365252.0,Panjohur,2.0,Jo,40327.61,95501.73,28,719.0,0,Jo,Jo
40345,Fatlum Celaj,27,M,Po,Jo,1.0,401399.99,263.0,Shofer,2.0,Jo,48669.91,75138.67,78,628.0,1,Po,Po
40860,Ornela Zylfollari,52,F,Jo,Po,0.0,167740.59,1732.0,Punëtorë të thjeshtë,1.0,Jo,59545.0,24317.6,98,692.0,0,Jo,Jo
34220,Emanuel Berberi,52,M,Jo,Po,0.0,74746.6,365243.0,Panjohur,1.0,Jo,10412.52,16930.99,36,785.0,0,Jo,Jo
37981,Olti Musaj,54,M,Jo,Po,0.0,214520.58,10982.0,Panjohur,2.0,Jo,10339.24,40735.06,63,750.0,0,Jo,Jo
52058,Elvi Vadahi,29,M,Jo,Jo,0.0,59490.61,365247.0,Panjohur,1.0,Jo,4912.31,12838.98,35,934.0,0,Jo,Jo
58231,Behar Ismaili,29,M,Po,Po,1.0,410833.57,643.0,Menaxher,3.0,Po,69499.16,153615.79,78,525.0,1,Po,Po
4011,Enisa Terniqi,53,F,Po,Po,0.0,149876.68,83.0,Punëtorë të thjeshtë,2.0,Jo,26227.17,25716.1,49,795.0,0,Jo,Jo
62057,Alida Zenuni,49,F,Jo,Po,0.0,76876.83,1732.0,Staf pastrimi,2.0,Jo,11572.75,17736.51,54,717.0,0,Jo,Jo
8444,Enri KaÃ§i,49,F,Jo,Po,2.0,68826.04,234.0,Panjohur,4.0,Po,38007.71,18176.49,53,872.0,0,Jo,Jo
58520,Edmond Sufaj,49,M,Jo,Po,0.0,279208.96,365251.0,Panjohur,2.0,Jo,42173.87,30476.24,24,682.0,0,Jo,Jo
34404,Portokalle Keli,51,F,Jo,Po,0.0,218888.35,365249.0,Panjohur,1.0,Jo,39311.88,73544.02,85,640.0,1,Po,Po
52933,Bale Shyq Metaj,33,F,Jo,Po,0.0,81098.82,365245.0,Panjohur,1.0,Jo,14605.52,12021.58,67,856.0,0,Jo,Jo
4340,Flori Sollaku,48,M,Jo,Jo,0.0,520333.86,290.0,Stafi i teknologjisë së lartë,1.0,Jo,23692.93,119989.76,83,888.0,0,Jo,Jo
15880,Erald Piciri,53,M,Jo,Jo,0.0,233353.92,4611.0,Panjohur,2.0,Jo,30373.74,24011.36,36,867.0,0,Jo,Jo
36983,Entela Dema,33,M,Po,Jo,2.0,183453.55,1523.0,Shofer,4.0,Jo,55835.07,21582.28,12,802.0,0,Jo,Jo
29128,Daku Daku,37,M,Jo,Po,3.0,275375.99,1811.0,Staf gatimi,5.0,Po,32217.82,54670.47,29,853.0,0,Jo,Jo
32836,Zeri Pasho,37,F,Jo,Jo,1.0,116642.52,4607.0,Staf mjekësor,2.0,Jo,28640.33,20331.13,48,735.0,0,Jo,Jo
44508,Fatmir Ismete,43,M,,Po,0.0,610226.68,3251.0,Menaxher,2.0,Jo,48463.33,148288.36,78,823.0,0,Jo,Jo
50690,Xhevdet Vela,41,M,Jo,Po,0.0,113362.71,2534.0,Stafi i teknologjisë së lartë,2.0,Jo,21130.4,15874.56,54,792.0,0,Jo,Jo
50038,Amos Di,42,M,Jo,Po,0.0,251421.72,7251.0,Punëtorë të thjeshtë,2.0,Jo,11083.56,78860.55,10,760.0,0,Jo,Jo
40370,Re Xhepi,49,M,Jo,Po,0.0,134671.4,365248.0,Panjohur,2.0,Jo,35012.93,46057.94,85,660.0,0,Jo,Jo
33878,Hira Rajput,40,F,Jo,Po,0.0,258183.31,365251.0,Panjohur,1.0,Jo,26070.45,82103.9,88,865.0,0,Jo,Jo
63125,Gena Saliaj,31,F,Jo,Po,0.0,144433.04,563.0,Punëtorë të thjeshtë,1.0,Po,43331.72,33136.51,85,696.0,0,Jo,Jo
18950,Trendy Sallon,33,F,Jo,Po,0.0,367378.76,1120.0,Punëtorë të thjeshtë,1.0,Po,26324.54,47963.32,32,698.0,0,Jo,Jo
25831,Arjan Lleshi,49,M,Po,Jo,0.0,426523.5,2747.0,Panjohur,2.0,Po,53263.51,145764.22,84,702.0,0,Jo,Jo
11892,Alb Osma,55,M,Jo,Po,0.0,136448.14,4135.0,Panjohur,2.0,Jo,13218.36,31009.9,51,824.0,0,Jo,Jo
37771,Roza Roza,36,F,Po,Jo,2.0,240418.47,5249.0,Punëtorë të thjeshtë,4.0,Po,20875.6,50156.94,79,695.0,0,Jo,Jo
47131,Mentor Shehi,53,M,Jo,Po,0.0,213321.54,3844.0,Panjohur,2.0,Jo,36324.36,48990.8,64,672.0,0,Jo,Jo
25454,Lindita Backa Mitrovica,44,F,Po,Jo,1.0,174979.29,713.0,Staf qëndror,2.0,Jo,24970.37,57408.52,48,709.0,0,Jo,Jo
47773,Liljana Mhillaj,37,F,Jo,Po,0.0,105276.59,365247.0,Panjohur,2.0,Jo,15106.07,19219.15,89,740.0,0,Jo,Jo
35074,Amar Sufaa,51,M,Jo,Po,1.0,161302.72,3780.0,Kontabilist,2.0,Jo,16016.02,40306.53,0,658.0,0,Jo,Jo
29537,Gena Genna,25,F,Jo,Po,1.0,234818.11,998.0,Panjohur,3.0,Jo,61818.64,30184.82,37,668.0,0,Jo,Jo
43941,Ermal Topcija,39,M,Jo,Jo,0.0,254110.24,2454.0,Staf mjekësor,2.0,Jo,47868.67,63287.31,19,912.0,0,Jo,Jo
22783,Alfret Mullahi,23,M,Po,Jo,0.0,165888.58,785.0,Staf i shitjeve,2.0,Jo,24304.51,43444.53,1,709.0,0,Jo,Jo
48135,Ersila Xheka,51,F,Jo,Po,0.0,281859.89,2981.0,Panjohur,1.0,Jo,26819.1,62257.33,88,846.0,0,Jo,Jo
36000,Lirie Duka,39,F,Jo,Po,0.0,347113.96,2206.0,Staf i shitjeve,2.0,Jo,39497.82,55747.43,2,929.0,0,Jo,Jo
23514,Hekuran Lala,28,M,Jo,Jo,0.0,121280.39,609.0,Staf qëndror,2.0,Jo,13607.82,24920.96,58,785.0,0,Jo,Jo
15389,Klea Ra,23,F,Po,Po,0.0,271177.57,365250.0,Panjohur,2.0,Jo,26228.11,60463.81,32,737.0,0,Jo,Jo
14817,Erni Allmuca,45,M,Po,Po,1.0,184536.78,2264.0,Staf qëndror,3.0,Jo,56205.77,39664.2,24,786.0,0,Jo,Jo
